rating,username,date,comment
7.5,jmosto,Mar 2025,NaN
7,MissBlade,Mar 2025,NaN
5,NaibafCH,Mar 2025,NaN
8,Blasion,Mar 2025,NaN
9,Atlasholy8,Mar 2025,NaN
,BeccaWinchester,Mar 2025,10+
7,okon66113,Mar 2025,NaN
8,ilovemycats,Mar 2025,NaN
7.5,ohdoukun,Mar 2025,"Cascadia: Kickstarter Promo Cards
Cascadia: Landmarks"
9,KamiNoWani,Mar 2025,NaN
8,Anks,Mar 2025,NaN
8,Zsoca23,Mar 2025,NaN
9,Abraham_tellez,Mar 2025,NaN
,Lion91,Mar 2025,"7.9 Puntuación
1-4 Jugadores (Mejor: 2-3)
30-45 Minutos
1.86/5 Dificultad
6/10 Mi prioridad

https://www.youtube.com/watch?v=EsmWvHjqr0o"
6.5,Miss_B,Mar 2025,NaN
8,Jackito,Mar 2025,NaN
8,Herzil,Mar 2025,NaN
9,Irkdark,Mar 2025,NaN
8,Boosire,Mar 2025,NaN
7,Mitmuss,Mar 2025,NaN
8.5,YoLYcmqZ,Mar 2025,NaN
8,Jwithers,Mar 2025,NaN
7.7,Marokh,Mar 2025,NaN
7.1,jeffvachon,Mar 2025,NaN
7.5,Max21,Mar 2025,NaN
9,justahero,Mar 2025,NaN
9,Ssavclub,Mar 2025,NaN
7,Tania2222,Mar 2025,NaN
8,Lpold,Mar 2025,NaN
8,Dieggo,Mar 2025,NaN
9.1,Kwharding,Mar 2025,NaN
8,SoapyMac,Mar 2025,NaN
9,Lschricke,Mar 2025,NaN
7,ushg7,Mar 2025,NaN
7,bmagenta,Mar 2025,NaN
8.7,philosophus,Mar 2025,"OK, finally learned how to play this in a game group. It can move fast with the right group and allows space for continued improvement. The theme is a bit of a push, in terms of connection with game mechanics and feel, yet still appreciated, as any nature-themed game is with me!"
7.5,VictoriousOne,Mar 2025,NaN
8,judsonmead,Mar 2025,NaN
7,Bodknocks,Mar 2025,NaN
8,lctr01,Mar 2025,NaN
8,NadMax,Mar 2025,NaN
8,yueyueyue,Mar 2025,NaN
9.5,Redbeard013,Mar 2025,NaN
8,m1ndfields,Mar 2025,NaN
7,Wisphunter,Mar 2025,NaN
7,vet1986,Mar 2025,NaN
9.5,Coupleinabox,Mar 2025,NaN
8,Garmar,Mar 2025,NaN
5,Nastasy57,Mar 2025,NaN
6,Dobroso,Mar 2025,NaN
8,tggeri52,Mar 2025,NaN
9.5,schattelux,Mar 2025,NaN
7.5,Jclancy15,Mar 2025,"Pro: Very fun puzzle. Relaxing and anyone can play. The bushy point scoring keeps anyone from feeling like they got blown out without actually keeping better players from consistently winning.

Con: The tile selection mechanisms make it much more solitaire-y than something like Azul."
7.5,jigbritos,Mar 2025,NaN
8,kobland,Mar 2025,NaN
,molinait,Mar 2025,"*** Sleeves Info ***

Status: Fully Sleeved
Brand: Mayday Games

Total Cards:
- 21 (70 x 120)"
9,Cards18,Mar 2025,NaN
6,Bigroux,Mar 2025,NaN
7.9,Yuheng,Mar 2025,NaN
,n1cknp00p,Mar 2025,At across the board
7,Cloud8089,Mar 2025,NaN
7,TheWrongTrousers,Mar 2025,"Too multiplayer solitaire at 4P, plays very nicely at 2."
9,Parsifal1,Mar 2025,NaN
8,SidneyBoo,Mar 2025,NaN
8,Timrgallegos,Mar 2025,NaN
7.9,andremiguell,Mar 2025,NaN
8,elenaaquar,Mar 2025,Just perfect medium - light euro game !!!!
6,rafaelpaz,Mar 2025,"The game is actually quite enjoyable and all... but this whole ""each person in their own square"" thing, doing their own thing to get points at the end, doesn't appeal to me at all.
The ideal is to play with two people, it improves the interaction a little."
7,NaokoBP5,Mar 2025,"Drafting puzzle game. Very good balanced animal tiles except foxes, they are too weak. Nature token is also a key for winning."
7.5,darkpanda,Mar 2025,NaN
10,Mpalmieri5,Mar 2025,NaN
8,Tikron,Mar 2025,"Tile laying game. Great with all amounts of players, including solo."
,Sitbear,Mar 2025,Acquired Kickstarter and Tantrum House Promos.
8,Sagabeth,Mar 2025,NaN
8,Venrael,Mar 2025,NaN
6,Scientia,Mar 2025,NaN
